"","logFC","logCPM","LR","PValue","FDR"
"FBgn0263782:Hmgcr",-9.41143927113891,14.4596032009888,4413.55698276388,0,0
"FBgn0046247:CG5938",-9.41143927113891,14.4686429293538,4413.55698280818,0,0
"FBgn0037739:CG12948",-9.41143927113891,14.460490782189,4413.55698276435,0,0
"FBgn0015781:P5cr",-9.41143927113891,14.46791088267,4413.55698279874,0,0
"FBgn0038388:CG4287",-9.41143927113891,14.4621936196216,4413.55698277519,0,0
"FBgn0037342:CG2931",-9.41143927113891,14.4606736572685,4413.55698276552,0,0
"FBgn0264357:SNF4Agamma",-9.41143927113891,14.4656747764574,4413.55698289321,0,0
"FBgn0026380:Prosbeta3",-9.41143927113891,14.4639292777651,4413.55698276752,0,0
"FBgn0038042:Scgbeta",-9.41143927113891,14.469450232326,4413.55698288578,0,0
"FBgn0037876:CG4820",-9.41143927113891,14.4594186808227,4413.55698276984,0,0
"FBgn0260462:CtsF",-9.41143927113891,14.4713456032448,4413.55698299155,0,0
"FBgn0039581:Moca-cyp",-9.41143927113891,14.4602175772774,4413.55698277338,0,0
"FBgn0262582:cic",-9.41143927113891,14.4745612537387,4413.55698288612,0,0
"FBgn0024555:flfl",-9.41143927113891,14.459535298351,4413.55698277086,0,0
"FBgn0023212:EloB",-9.41143927113891,14.4638828948866,4413.55698277648,0,0
"FBgn0039261:Ythdf",-9.41143927113891,14.4595911606173,4413.55698277004,0,0
"FBgn0261808:cu",-9.41143927113891,14.4606456067972,4413.55698276916,0,0
"FBgn0039213:atl",-9.41143927113891,14.460318735197,4413.55698277192,0,0
"FBgn0038686:CG5555",-9.41143927113891,14.4600419342437,4413.55698277157,0,0
"FBgn0037949:prd1",-9.41143927113891,14.4595481304179,4413.55698276543,0,0
"FBgn0260935:Vps15",-9.41143927113891,14.4611430146332,4413.55698276686,0,0
"FBgn0039712:CG15514",-9.41143927113891,14.462111687463,4413.55698276621,0,0
"FBgn0039337:MED28",-9.41143927113891,14.4604047923055,4413.55698277731,0,0
"FBgn0037297:CG1116",-9.41143927113891,14.46070074174,4413.55698277385,0,0
"FBgn0039626:Slu7",-9.41143927113891,14.459333550293,4413.55698276797,0,0
"FBgn0016754:sba",-9.41143927113891,14.4617029278109,4413.55698276479,0,0
"FBgn0259212:cno",-9.41143927113891,14.4613282159386,4413.55698277402,0,0
"FBgn0039466:CG5521",-9.41143927113891,14.4610748560797,4413.55698277411,0,0
"FBgn0262483:Rbp",-9.41143927113891,14.469898353921,4413.55698278497,0,0
"FBgn0085382:CG34353",-9.41143927113891,14.4636640448699,4413.55698279728,0,0
"FBgn0037755:CG12945",-9.41143927113891,14.4600986662842,4413.55698276413,0,0
"FBgn0037981:Spt3",-9.41143927113891,14.4594119801695,4413.55698276743,0,0
"FBgn0037358:elm",-9.41143927113891,14.4830188577295,4413.55698276236,0,0
"FBgn0038737:Mrm2",-9.41143927113891,14.4610786929713,4413.55698277318,0,0
"FBgn0263289:scrib",-9.41143927113891,14.4636071170268,4413.55698277643,0,0
"FBgn0039259:EMC6",-9.41143927113891,14.4652283456868,4413.55698277402,0,0
"FBgn0038683:CG11779",-9.41143927113891,14.4604133622909,4413.55698277577,0,0
"FBgn0083986:CG34150",-9.41143927113891,14.4651108356101,4413.55698277565,0,0
"FBgn0051450:mRpS18A",-9.41143927113891,14.4679056133055,4413.55698280332,0,0
"FBgn0038641:ChT",-9.41143927113891,14.463594117922,4413.55698277588,0,0
"FBgn0001280:janA",-9.41143927113891,14.4615972451877,4413.55698277845,0,0
"FBgn0027620:Acf",-9.41143927113891,14.4598284356435,4413.5569827642,0,0
"FBgn0261885:osa",-9.41143927113891,14.4632741951831,4413.55698278481,0,0
"FBgn0260003:Dys",-9.41143927113891,14.4609446296109,4413.55698276468,0,0
"FBgn0020510:Abi",-9.41143927113891,14.459535298351,4413.55698276933,0,0
"FBgn0283438:CG46280",-9.41143927113891,14.4601394000296,4413.55698276464,0,0
"FBgn0028734:Fmr1",-9.41143927113891,14.4605370734368,4413.55698276507,0,0
"FBgn0039690:Gnpnat",-9.41143927113891,14.4610300306007,4413.55698276668,0,0
"FBgn0039462:CG14252",-9.41143927113891,14.4597392330466,4413.55698277676,0,0
"FBgn0004049:yrt",-9.41143927113891,14.4604006188042,4413.55698276609,0,0
"FBgn0051184:LSm3",-9.41143927113891,14.4596462796164,4413.55698276491,0,0
"FBgn0038964:Nop56",-9.41143927113891,14.4607687717165,4413.55698276505,0,0
"FBgn0020379:Rfx",-9.41143927113891,14.4610769140605,4413.55698276504,0,0
"FBgn0051109:CG31109",-9.41143927113891,14.4615542032549,4413.556982765,0,0
"FBgn0051475:myd",-9.41143927113891,14.4614119736881,4413.55698276577,0,0
