"Gene","PValue","logFC"
"FBgn0028400:Syt4",0.89041022880594,-5.22620550700388
"FBgn0039233:CG7006",1,-9.65249311449712
"FBgn0288631:Yif1",1,-8.65831025799077
"FBgn0039225:Ets96B",1,-9.65249311449712
"FBtr0472735_df_nrg:FBtr0472735_df_nrg",1,-16.6096404744368
"FBgn0051327:CG31327",1,-16.6096404744368
"FBgn0261290:CheA84a",1,-16.6096404744368
"FBgn0264431:lncRNA:CR43849",1,-16.6096404744368
"FBgn0286867:lncRNA:osk",1,-16.6096404744368
"FBgn0002609:E(spl)m3-HLH",1,-16.6096404744368
"FBgn0051013:CG31013",1,-16.6096404744368
"FBgn0265316:lncRNA:CR44289",1,-16.6096404744368
"FBgn0267137:lncRNA:CR45577",1,-16.6096404744368
"FBti0019387:diver{}1372",1,-16.6096404744368
"FBgn0037898:Dtd",0.000144704121980054,-7.54597509110777
"FBgn0011993:tRNA:Thr-AGT-1-5",1,-16.6096404744368
"FBgn0051206:CG31206",1,-16.6096404744368
"FBgn0266226:lncRNA:CR44921",1,-16.6096404744368
"FBgn0038037:Cyp9f2",0.588325279332446,-8.07529202913998
"FBgn0037449:CG15185",1,-16.6096404744368
"FBgn0265449:lncRNA:CR44349",1,-16.6096404744368
"FBgn0002924:ncd",1,-10.2316618330772
"FBgn0037623:CG9801",1,-11.2144187970452
"FBgn0038989:CG6937",1,-16.6096404744368
"FBgn0038526:CG14327",1,-16.6096404744368
"FBgn0038203:Or88a",1,-16.6096404744368
"FBgn0037608:mRpL19",1,-7.54597509110777
"FBgn0260713:CG42544",1,-16.6096404744368
"FBgn0037483:CG14609",1,-16.6096404744368
"FBgn0028476:Usp1",1,-11.2144187970452
"FBgn0038046:CG5641",1,-7.15958648893902
"FBgn0012004:tRNA:Val-CAC-2-6",1,-16.6096404744368
"FBti0063367:INE-1{}5306",1,-16.6096404744368
"FBti0019334:Transpac{}1262",1,-16.6096404744368
"FBgn0051202:alpha-Man-Ic",1,-16.6096404744368
"FBgn0039147:CG10694",1,-16.6096404744368
"FBgn0265424:lncRNA:TS14",1,-16.6096404744368
"FBgn0267764:lncRNA:CR46095",1,-16.6096404744368
"FBgn0038349:AOX3",1,-16.6096404744368
"FBgn0010441:pll",1,-11.2144187970452
"FBgn0039402:Vps2",1,-7.66122764926626
"FBgn0263550:mir-4918",1,-16.6096404744368
"FBgn0037715:CG9399",1,-6.99933895378183
"FBgn0010399:Nmdar1",1,-8.07529202913998
"FBgn0267975:vib",0.942698878143194,-4.83930945574562
"FBgn0015331:abs",1,-11.2144187970452
"FBti0019312:BS{}1230",1,-11.2144187970452
"FBgn0027948:msps",1,-8.24473071691295
"FBgn0011655:Med",1,-9.24036125502743
"FBgn0266758:Esyt2",1,-9.24036125502743
"FBgn0004781:Ccp84Ac",1,-16.6096404744368
"FBgn0265067:lncRNA:CR44178",1,-16.6096404744368
"FBgn0085346:Rpp14a",1,-16.6096404744368
"FBgn0039075:CG4393",1,-10.2316618330772
"FBgn0000274:Pka-C2",1,-16.6096404744368
"FBgn0267798:lncRNA:CR46123",1,-16.6096404744368
"FBtr0445482_df_nrg:FBtr0445482_df_nrg",1,-16.6096404744368
"FBti0060447:INE-1{}2386",1,-16.6096404744368
"FBgn0039448:TwdlQ",1,-16.6096404744368
"FBgn0267152:lncRNA:CR45592",1,-16.6096404744368
"FBgn0003356:Jon99Cii",1,-16.6096404744368
"FBgn0039094:CG10184",1,-9.65249311449712
"FBgn0010044:GstD8",1,-16.6096404744368
"FBgn0051223:CG31223",1,-9.65249311449712
"FBgn0263490:mld",1,-7.92367810469449
"FBti0019374:roo{}1359",1,-16.6096404744368
"FBgn0250910:Octbeta3R",0.737074779613972,-5.7888839820689
"FBgn0262617:Nuak",4.73148949797356e-14,-5.8907052339932
"FBgn0038360:CG9590",1,-8.24473071691295
"FBti0215181:1360{}6402",1,-16.6096404744368
"FBgn0051352:Unc-115a",1,-8.92017935717114
"FBgn0037290:CG1124",1,-6.20365562870072
"FBgn0038069:CG11608",1,-16.6096404744368
"FBti0062603:1360{}4542",1,-16.6096404744368
"FBgn0037262:MED31",1,-7.24692042053527
